timestamp,temperature_c,pressure_kpa,uv_intensity,cosmic_radiation,water_activity,relative_humidity,gravity,perchlorate_concentration,iron_oxide_concentration,silica_concentration,alumina_concentration,temperature_stress,pressure_stress,uv_stress,water_stress,perchlorate_stress,combined_stress
2025-08-11 04:01:01.505628,-80.0,0.6112642780106097,0.0,2.0,0.3,5.0,0.38,0.007,18.0,45.0,15.0,1.0,0.9939672906191896,0.0,0.7,0.7,0.678793458123838
2025-08-11 05:01:01.505628,-80.0,0.5537933603178712,0.0,2.0,0.3,5.0,0.38,0.007,18.0,45.0,15.0,1.0,0.9945344844774945,0.0,0.7,0.7,0.678906896895499
2025-08-11 06:01:01.505628,-80.0,0.6344789683281187,0.0,2.0,0.3,5.0,0.38,0.007,18.0,45.0,15.0,1.0,0.9937381794391501,0.0,0.7,0.7,0.6787476358878302
2025-08-11 07:01:01.505628,-80.0,0.6647271575665039,0.0,2.0,0.3,5.0,0.38,0.007,18.0,45.0,15.0,1.0,0.9934396530217962,0.0,0.7,0.7,0.6786879306043593
2025-08-11 08:01:01.505628,-80.0,0.5405325742696452,0.0,2.0,0.3,5.0,0.38,0.007,18.0,45.0,15.0,1.0,0.9946653582603538,0.0,0.7,0.7,0.6789330716520707
2025-08-11 09:01:01.505628,-80.0,0.6454965792165331,0.0,2.0,0.3,5.0,0.38,0.007,18.0,45.0,15.0,1.0,0.9936294440738561,0.0,0.7,0.7,0.6787258888147714
2025-08-11 10:01:01.505628,-68.35052388829826,0.6055315655855513,0.18143022554198376,2.0,0.3,5.0,0.38,0.007,18.0,45.0,15.0,1.0,0.9940238680919264,0.09071511277099188,0.7,0.7,0.6969477961725836
2025-08-11 11:01:01.505628,-54.71626048385627,0.6563493698573266,0.45915855054939275,2.0,0.3,5.0,0.38,0.007,18.0,45.0,15.0,1.0,0.9935223353579341,0.22957927527469638,0.7,0.7,0.7246203221265262
2025-08-11 12:01:01.505628,-33.65022897661386,0.5583105042944937,0.86864565817918,2.0,0.3,5.0,0.38,0.007,18.0,45.0,15.0,1.0,0.9944899037325982,0.43432282908959,0.7,0.7,0.7657625465644378
2025-08-11 13:01:01.505628,-26.260169288653188,0.5941266212637497,1.0851570998865407,2.0,0.3,5.0,0.38,0.007,18.0,45.0,15.0,1.0,0.9941364261409943,0.5425785499432704,0.7,0.7,0.7873429952168529
2025-08-11 14:01:01.505628,-20.13133179121452,0.5930558710524522,1.3554148230544614,2.0,0.3,5.0,0.38,0.007,18.0,45.0,15.0,1.0,0.9941469936239581,0.6777074115272307,0.7,0.7,0.8143708810302378
2025-08-11 15:01:01.505628,-15.590816560250992,0.5600007450090557,1.5954733950607762,2.0,0.3,5.0,0.38,0.007,18.0,45.0,15.0,0.9118163312050198,0.9944732223537226,0.7977366975303881,0.7,0.7,0.8208052502178262
2025-08-11 16:01:01.505628,-11.308756474236038,0.6125523514927683,1.5735266614132624,2.0,0.3,5.0,0.38,0.007,18.0,45.0,15.0,0.8261751294847207,0.9939545783223018,0.7867633307066312,0.7,0.7,0.8013786077027307
